r,K_supply,K_demand
0.005,2.72063,9.53906
0.006,2.79068,9.36632
0.007,2.86114,9.19864
0.008,2.94087,9.03584
0.009,3.04354,8.87771
0.01,3.13318,8.72406
0.011,3.20975,8.57473
0.012,3.32191,8.42955
0.013,3.4334,8.28835
0.014,3.55814,8.15099
0.015,3.68142,8.01733
0.016,3.80724,7.88722
0.017,3.96559,7.76054
0.018,4.11108,7.63716
0.019,4.26403,7.51697
0.02,4.44625,7.39985
0.021,4.64329,7.28569
0.022,4.86515,7.17439
0.023,5.11019,7.06585
0.024,5.36821,6.95998
0.025,5.64306,6.85669
0.026,5.9754,6.75588
0.027,6.32595,6.65749
0.028,6.72357,6.56142
0.029,7.19445,6.46761
0.03,7.74772,6.37597
0.031,8.31672,6.28645
0.032,9.08401,6.19897
0.033,9.96979,6.11347
0.034,11.1054,6.02988
0.035,12.4583,5.94816
0.036,14.288,5.86823
0.037,16.7398,5.79005
0.038,20.3021,5.71356
0.039,24.6299,5.63872
